1	1	0	200	ode45	24	1000
1	2	0	200	ode45	24	1000
1	3	0	200	ode45	24	1000
1	4	0	200	ode45	24	1000
1	5	0	200	ode45	24	1000
1	6	0	200	ode45	24	1000
1	7	0	200	ode45	24	1000
1	8	0	200	ode45	24	1000
1	9	0	200	ode45	24	1000
1	10	0	200	ode45	24	1000
2	1	0	200	ode45	24	1000
2	2	0	200	ode45	24	1000
2	3	0	200	ode45	24	1000
2	4	0	200	ode45	24	1000
2	5	0	200	ode45	24	1000
2	6	0	200	ode45	24	1000
2	7	0	200	ode45	24	1000
2	8	0	200	ode45	24	1000
2	9	0	200	ode45	24	1000
2	10	0	200	ode45	24	1000
3	1	0	200	ode45	24	1000
3	2	0	200	ode45	24	1000
3	3	0	200	ode45	24	1000
3	4	0	200	ode45	24	1000
3	5	0	200	ode45	24	1000
3	6	0	200	ode45	24	1000
3	7	0	200	ode45	24	1000
3	8	0	200	ode45	24	1000
3	9	0	200	ode45	24	1000
3	10	0	200	ode45	24	1000
4	1	0	200	ode45	24	1000
4	2	0	200	ode45	24	1000
4	3	0	200	ode45	24	1000
4	4	0	200	ode45	24	1000
4	5	0	200	ode45	24	1000
4	6	0	200	ode45	24	1000
4	7	0	200	ode45	24	1000
4	8	0	200	ode45	24	1000
4	9	0	200	ode45	24	1000
4	10	0	200	ode45	24	1000
5	1	0	200	ode45	24	1000
5	2	0	200	ode45	24	1000
5	3	0	200	ode45	24	1000
5	4	0	200	ode45	24	1000
5	5	0	200	ode45	24	1000
5	6	0	200	ode45	24	1000
5	7	0	200	ode45	24	1000
5	8	0	200	ode45	24	1000
5	9	0	200	ode45	24	1000
5	10	0	200	ode45	24	1000
6	1	0	200	ode45	24	1000
6	2	0	200	ode45	24	1000
6	3	0	200	ode45	24	1000
6	4	0	200	ode45	24	1000
6	5	0	200	ode45	24	1000
6	6	0	200	ode45	24	1000
6	7	0	200	ode45	24	1000
6	8	0	200	ode45	24	1000
6	9	0	200	ode45	24	1000
6	10	0	200	ode45	24	1000
7	1	0	200	ode45	24	1000
7	2	0	200	ode45	24	1000
7	3	0	200	ode45	24	1000
7	4	0	200	ode45	24	1000
7	5	0	200	ode45	24	1000
7	6	0	200	ode45	24	1000
7	7	0	200	ode45	24	1000
7	8	0	200	ode45	24	1000
7	9	0	200	ode45	24	1000
7	10	0	200	ode45	24	1000
8	1	0	200	ode45	24	1000
